name,start,end,start_prev_sunday,thanksgiving_week_num,academic_year
Winter 2019,2019-01-07,2019-03-22,2019-01-06,,2018-2019
Spring 2019,2019-04-01,2019-06-14,2019-03-31,,2018-2019
Fall 2019,2019-09-26,2019-12-13,2019-09-22,10,2019-2020
Winter 2020,2020-01-06,2020-03-20,2020-01-05,,2019-2020
Spring 2020,2020-03-30,2020-06-12,2020-03-29,,2019-2020
Fall 2020,2020-10-01,2020-12-18,2020-09-27,9,2020-2021
Winter 2021,2021-01-04,2021-03-19,2021-01-03,,2020-2021
Spring 2021,2021-03-29,2021-06-11,2021-03-28,,2020-2021
Fall 2021,2021-09-23,2021-12-10,2021-09-19,10,2021-2022
Winter 2022,2022-01-03,2022-03-18,2022-01-02,,2021-2022
Spring 2022,2022-03-28,2022-06-10,2022-03-27,,2021-2022
Fall 2022,2022-09-22,2022-12-09,2022-09-18,10,2022-2023
Winter 2023,2023-01-09,2023-03-24,2023-01-08,,2022-2023
Spring 2023,2023-04-03,2023-06-16,2023-04-02,,2022-2023
Fall 2023,2023-09-28,2023-12-15,2023-09-24,9,2023-2024
Winter 2024,2024-01-08,2024-03-22,2024-01-07,,2023-2024
Spring 2024,2024-04-01,2024-06-14,2024-03-31,,2023-2024
Fall 2024,2024-09-26,2024-12-13,2024-09-22,10,2024-2025
Winter 2025,2025-01-06,2025-03-21,2025-01-05,,2024-2025
Spring 2025,2025-03-31,2025-06-13,2025-03-30,,2024-2025
Fall 2025,2025-09-25,2025-12-12,2025-09-21,10,2025-2026
Winter 2026,2026-01-05,2026-03-20,2026-01-04,,2025-2026
Spring 2026,2026-03-30,2026-06-12,2026-03-29,,2025-2026
Fall 2026,2026-09-24,2026-12-11,2026-09-20,10,2026-2027
Winter 2027,2027-01-04,2027-03-19,2027-01-03,,2026-2027
Spring 2027,2027-03-29,2027-06-11,2027-03-28,,2026-2027
